id;hex_id;name;environment;cluster_name;domain;fqdn;pci_tier;vlan
MGk6iEiHark4;1AE4C3AC644612ED;sw-sXXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-sXXXXXXXX;3;1XX0
ENA9uI2karF4;24A524B864B810FD;wt0bXXXXXXXXrner.ch;dev;NDXXXXXXXX;prodXXXXXXXX;wt0bXXXXXXXXrner.ch;3;1XX3
SWPyb9VQbHWQ;F198F26565696A04;soarXXXXXXXXrner.local;ittest;soarXXXXXXXX;itteXXXXXXXX;soarXXXXXXXXrner.local;3;1XX2
xFAOu2cFcfiS;60A360B8663E72CA;dkrnXXXXXXXXrner.local;ittest;dkrnXXXXXXXX;itteXXXXXXXX;dkrnXXXXXXXXrner.local;3;1XX8
ETEDNe3MYfX3;34E73A1762580E1A;kafkXXXXXXXXorner.local;ittest;kafkXXXXXXXX;itteXXXXXXXX;kafkXXXXXXXXorner.local;3;1XX7
jEwAjk2uY55T;2BA32BAD62E07451;wt0bXXXXXXXXr.tech;ittest;spssXXXXXXXX;moonXXXXXXXX;wt0bXXXXXXXXr.tech;3;1XX2
AGk6iEiHa5k4;1AE4C3AC644612E1;sw-sXXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-sXXXXXXXX;3;1XX0
eNA9uI2kaPH4;24A524B864B81116;wt0bXXXXXXXXorner.group;dev;NDXXXXXXXX;greeXXXXXXXX;wt0bXXXXXXXXorner.group;3;1XX3
WXPyb9VQbXaQ;F198F26565696A48;soarXXXXXXXXer.local;prod;soarXXXXXXXX;prodXXXXXXXX;soarXXXXXXXXer.local;2;1XX2
dEAOu2cFcPdS;60A360B8663E7276;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;6XX
bTEDOe3MY1Z3;34E73A1862580E30;globXXXXXXXXst.cornercard.local;ittest;globXXXXXXXX;itteXXXXXXXX;globXXXXXXXXst.cornercard.local;3;1XX0
WFwAkk2uYD8T;2BA32BAE62E07483;pc85XXXXXXXX;dev;dynwXXXXXXXX;testXXXXXXXX;pc85XXXXXXXX;3;2XX8
7Jk6jEiHanv4;1AE4C3AD6446139C;ftdtXXXXXXXXner.local;prep;ftdtXXXXXXXX;prepXXXXXXXX;ftdtXXXXXXXXner.local;2;1XX0
LMA9uI2kaHC4;24A524B864B810C4;wt0bXXXXXXXXorner.group;dev;NDXXXXXXXX;greeXXXXXXXX;wt0bXXXXXXXXorner.group;3;1XX3
FXPyb9VQbTZQ;F198F26565696A37;soarXXXXXXXXer.local;prep;soarXXXXXXXX;prepXXXXXXXX;soarXXXXXXXXer.local;2;1XX0
AEAOu2cFcbbS;60A360B8663E7259;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;6XX
xTEDOe3MYPa3;34E73A1862580E46;gpfsXXXXXXXXner.local;prod;gpfsXXXXXXXX;prodXXXXXXXX;gpfsXXXXXXXXner.local;3;1XX3
JFwAkk2uYP7T;2BA32BAE62E07476;wt0bXXXXXXXXr.tech;ittest;xrepXXXXXXXX;moonXXXXXXXX;wt0bXXXXXXXXr.tech;3;1XX2
tIk6jEiHanu4;1AE4C3AD6446138C;ftenXXXXXXXXner.local;test;ftenXXXXXXXX;testXXXXXXXX;ftenXXXXXXXXner.local;3;6XX
